Searching and Sorting,Number and the Digit Sum,Easy,33,No,https://practice.geeksforgeeks.org/problems/number-and-the-digit-sum4021/1?page=2&difficulty%5B%5D=0&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Find triplets with zero sum,Easy,33,No,https://practice.geeksforgeeks.org/problems/find-triplets-with-zero-sum/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Sort The Array,Easy,33,No,https://practice.geeksforgeeks.org/problems/sort-the-array0055/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Sort in specific order,Easy,33,No,https://practice.geeksforgeeks.org/problems/sort-in-specific-order2422/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Sort a String,Easy,34,No,https://practice.geeksforgeeks.org/problems/sort-a-string2943/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Triplet Family,Easy,34,No,https://practice.geeksforgeeks.org/problems/triplet-family/1?page=1&difficulty%5B%5D=-1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Merge and Sort,Easy,34,No,https://practice.geeksforgeeks.org/problems/merge-and-sort5821/1?page=2&difficulty%5B%5D=-1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Merging two unsorted arrays in sorted order,Easy,34,No,https://practice.geeksforgeeks.org/problems/merging-two-unsorted-arrays-in-sorted-order1020/1?page=2&difficulty%5B%5D=0&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Rope Cutting,Easy,35,No,https://practice.geeksforgeeks.org/problems/rope-cutting3334/1?page=3&difficulty%5B%5D=0&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Make array elements unique,Easy,35,No,https://practice.geeksforgeeks.org/problems/6e63df6d2ebdf6408a9b364128bb1123b5b13450/1?page=2&difficulty%5B%5D=0&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Kth smallest element,Medium,35,No,https://practice.geeksforgeeks.org/problems/kth-smallest-element5635/1?page=1&difficulty%5B%5D=1&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Smallest Positive missing number,Medium,35,No,https://practice.geeksforgeeks.org/problems/smallest-positive-missing-number-1587115621/1?page=1&difficulty%5B%5D=1&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Sort an array according to the other,Medium,36,No,https://practice.geeksforgeeks.org/problems/relative-sorting4323/1?page=1&difficulty%5B%5D=1&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Square root of a number,Medium,36,No,https://practice.geeksforgeeks.org/problems/square-root/1?page=1&difficulty%5B%5D=1&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Search in a row-column sorted Matrix,Medium,36,No,https://practice.geeksforgeeks.org/problems/search-in-a-matrix-1587115621/1?page=1&difficulty%5B%5D=1&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Smallest factorial number,Medium,37,No,https://practice.geeksforgeeks.org/problems/smallest-factorial-number5929/1?page=1&difficulty%5B%5D=1&category%5B%5D=Searching&sortBy=submissions
Searching and Sorting,Merge Sort,Medium,37,No,https://practice.geeksforgeeks.org/problems/merge-sort/1?page=1&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Quick Sort,Medium,37,No,https://practice.geeksforgeeks.org/problems/quick-sort/1?page=1&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Count Inversions,Medium,38,No,https://practice.geeksforgeeks.org/problems/inversion-of-array-1587115620/1?page=1&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
